1,INDLAWADI,IN,1,INDLAWADI,I
2,KADUJAKKANAHALLI,KJ,1,INDLAWADI,I
3,MYSORAMANADODDI,MY,1,INDLAWADI,I
4,BAGGANADODDI,BA,1,INDLAWADI,I
5,TIMMYANADODDI,TH,1,INDLAWADI,I
6,NAGAYANADODDI,NY,1,INDLAWADI,I
7,CHIKKNAHALLI,CK,1,INDLAWADI,I
8,INDLAWADI PURA,ID,1,INDLAWADI,I
9,TIMMASANDRA,TM,1,INDLAWADI,I
10,BANGLADODDI,BN,1,INDLAWADI,I
11,VANAKANAHALLI,VK,2,VANAKANAHALLI,V
12,SOLLORU,SO,2,VANAKANAHALLI,V
13,KALANAYAKANAHALLI,KL,2,VANAKANAHALLI,V
14,SUNAVARA,SU,2,VANAKANAHALLI,V
15,CHODENAHALLI,CO,2,VANAKANAHALLI,V
16,P GOLLAHALLI,PG,2,VANAKANAHALLI,V
17,MENASIGANAHALLI,ME,2,VANAKANAHALLI,V
18,SINGASANDRA,SG,2,VANAKANAHALLI,V
19,KEMPADOMMASANDRA,KD,2,VANAKANAHALLI,V
20,TELAGARAHALLI,TE,2,VANAKANAHALLI,V
21,CHIKKAHOSALLI,CH,3,CHIKKAHOSALLI,C
22,NALLAYANADODDI,NA,3,CHIKKAHOSALLI,C
23,TAMMANAYAKANAHALLI,TK,3,CHIKKAHOSALLI,C
24,CHOODAHALLI,CO,3,CHIKKAHOSALLI,C
25,KARAKALAGATTA,KG,3,CHIKKAHOSALLI,C
26,KARAKALAGATTA JANATHA COLONY ,KC,3,CHIKKAHOSALLI,C
27,AREHALLI,AR,3,CHIKKAHOSALLI,C
28,LAKSHMIPURA,LP,3,CHIKKAHOSALLI,C
29,BASAVANAPURA,BA,3,CHIKKAHOSALLI,C
30,MUTTURU,MU,3,CHIKKAHOSALLI,C
